latitude,longitude,count
-90.0,0.0,11.0
-43.7524,-176.6643,7.0
-23.4381,-149.2119,7.0
-24.7886,-130.7813,7.0
-53.7256,-68.9874,189.0
-54.3207,-36.8086,7.0
-51.3228,-72.2793,24.0
-51.4887,-69.1775,34.0
-51.7192,-58.2923,13.0
-46.9084,-72.0834,2.0
-46.9661,-68.328,31.0
-44.5227,-72.1903,45.0
-44.4619,-66.7872,221.0
-40.8614,-72.81,479.0
-40.583,-67.7155,19.0
-40.706,-62.97,25.0
-37.3052,-72.78,1333.0
-38.6632,-67.6749,558.0
-37.893,-59.8269,1129.0
-36.7869,-56.7368,54.0
-33.4697,-71.5553,1286.0
-33.4484,-70.3532,8504.0
-34.4706,-58.7756,16332.0
-34.2485,-56.0229,1642.0
-29.974,-71.3454,125.0
-31.2216,-65.5921,1928.0
-31.4811,-60.764,1137.0
-30.0629,-51.604,3742.0
-29.334,-49.729,1.0
-27.1572,-65.9498,634.0
-27.3619,-59.0776,460.0
-27.7713,-52.729,2598.0
-27.181,-48.9228,3215.0
-24.0616,-67.2396,787.0
-24.171,-57.8388,692.0
-23.8859,-51.9898,3222.0
-23.2962,-45.4711,42165.0
-22.7282,-42.1188,510.0
-54.4333,3.4,3.0
-37.1128,-12.2834,4.0
-33.9027,18.5277,3831.0
-33.7534,25.3824,878.0
-31.9546,18.8893,14.0
-30.0132,27.3127,155.0
-29.8302,30.8985,2333.0
-28.088,19.6422,27.0
-27.1397,26.7615,11639.0
-26.7041,30.9826,535.0
-22.8604,14.5152,48.0
-22.5855,17.1099,177.0
-25.6163,28.0436,2481.0
-24.736,30.1913,355.0
-53.1043,72.7649,4.0
-49.35,70.2167,10.0
-43.0,67.0,1.0
-22.9192,46.2,13.0
-46.3169,168.6008,181.0
-42.8798,147.316,600.0
-44.375,171.3931,1059.0
-43.5362,172.7583,388.0
-39.85,143.9,1.0
-41.3625,146.7661,457.0
-42.1744,171.5371,28.0
-40.8873,174.6732,3636.0
-37.7143,143.034,379.0
-37.808,145.06,14234.0
-37.2139,175.0582,4166.0
-33.8143,115.0909,17.0
-33.4841,116.2145,284.0
-34.5192,135.9261,14.0
-33.8435,142.0784,12151.0
-34.0847,150.625,7805.0
-33.7293,151.2606,10778.0
-35.5908,174.1839,236.0
-29.782,114.9856,2.0
-31.9914,115.9026,4546.0
-32.5,136.5,1.0
-31.7683,139.7772,47.0
-31.5626,149.6345,145.0
-30.9892,152.6998,340.0
-28.6736,114.5773,28.0
-26.5921,120.224,3.0
-27.4171,149.5816,15.0
-27.5039,153.0546,9793.0
-29.0435,167.9484,13.0
-24.8826,113.6571,2.0
-22.9386,118.2946,15.0
-23.7694,133.8245,34.0
-22.9114,139.9093,1.0
-23.4196,149.794,144.0
-24.8623,152.2811,201.0
-22.6167,167.4833,1.0
-20.3892,-175.0556,21.0
-21.1194,-159.531,30.0
-18.0583,-175.1542,4.0
-19.0185,-169.9111,9.0
-18.4573,-161.4948,2.0
-16.625,-151.5917,6.0
-17.5492,-149.5192,188.0
-13.5919,-173.2315,58.0
-14.254,-170.5195,42.0
-14.7396,-146.3196,5.0
-15.0,-140.0,24.0
-9.1146,-171.9131,7.0
-9.7596,-170.8062,13.0
-9.8128,-160.0659,3.0
-9.8,-139.0333,1.0
-8.5421,-172.5159,4.0
-8.9109,-140.0997,4.0
-2.7768,-171.7168,1.0
2.0164,-157.4877,2.0
-20.3276,-69.8746,156.0
-21.9971,-62.2896,32.0
-21.232,-51.9524,1697.0
-20.801,-45.6475,10609.0
-20.5768,-41.041,2640.0
-16.439,-71.542,162.0
-17.3136,-66.9228,643.0
-17.6555,-60.4108,92.0
-17.2684,-52.0224,524.0
-16.7981,-48.002,4926.0
-17.6962,-40.8715,722.0
-13.6891,-73.7773,199.0
-13.8627,-69.067,17.0
-13.9549,-59.3517,137.0
-15.0241,-55.2945,698.0
-14.6962,-46.8287,420.0
-13.2292,-39.0292,2174.0
-9.0833,-78.5925,20.0
-11.985,-77.0158,3114.0
-10.9679,-67.1486,229.0
-10.9334,-61.7409,209.0
-11.2119,-54.7525,85.0
-10.6288,-47.5275,295.0
-10.5969,-37.8662,1796.0
-7.4455,-79.1731,275.0
-7.2686,-75.5159,76.0
-8.653,-69.6472,9.0
-8.7018,-63.7357,171.0
-6.8733,-50.6781,153.0
-6.9305,-46.8692,241.0
-7.3144,-37.4745,1781.0
-2.6071,-79.7786,912.0
-3.398,-74.6655,22.0
-3.7622,-69.497,19.0
-3.1915,-60.0198,274.0
-3.44,-53.4189,122.0
-3.9937,-44.846,1038.0
-3.9982,-38.9129,1685.0
-0.7861,-90.2343,18.0
-0.5648,-78.9396,1019.0
-1.6175,-77.51,1319.0
0.4739,-69.3156,9.0
-1.7475,-62.2084,69.0
-0.2199,-51.8113,145.0
-1.4162,-48.2515,667.0
4.3072,-74.6065,6115.0
3.5601,-68.277,43.0
3.01,-60.5645,13.0
3.9255,-55.0553,45.0
7.9061,-80.3894,11.0
5.6155,-74.6418,9317.0
7.2329,-68.1574,88.0
6.3169,-59.128,101.0
5.3738,-53.7651,369.0
10.4715,-85.767,16.0
9.6995,-82.9552,5173.0
10.5206,-74.1599,1705.0
9.71,-67.448,4002.0
10.3236,-62.1913,1509.0
-21.8598,17.0576,175.0
-21.7081,24.6515,106.0
-20.0173,30.1139,220.0
-15.9333,-5.7111,3.0
-17.6721,16.2605,46.0
-17.3556,25.4278,12.0
-17.9125,33.6915,192.0
-13.375,13.1539,21.0
-12.5202,18.4304,473.0
-15.0075,28.2449,101.0
-14.6016,31.0992,334.0
-9.0491,-35.3208,5.0
-10.4267,13.7923,4.0
-9.8895,18.0665,17.0
-11.4643,27.3842,7.0
-10.9146,32.9375,16.0
-7.3111,-35.0327,2524.0
-8.7128,13.2177,303.0
-8.1176,15.8966,53.0
-6.8848,24.0045,11.0
-7.9632,33.5469,38.0
-5.4687,-35.3566,2.0
