latitude,longitude,count
-90.0,0.0,11
-54.8,-68.3,32
-54.5333,-67.2,1
-54.5,-37.0,3
-54.4333,3.4,3
-54.2767,-36.5117,1
-54.1561,-36.7161,3
-53.7833,-67.7,86
-53.3,-70.3667,1
-53.15,-70.9167,69
-53.1171,73.5095,1
-53.1,72.5167,3
-51.75,-59.0,5
-51.7333,-72.5167,13
-51.7,-57.85,8
-51.65,-72.3,2
-51.6333,-69.2167,31
-51.5333,-72.3,2
-50.4069,-71.8267,7
-50.0167,-68.5167,1
-49.9833,-68.9,2
-49.35,70.2167,10
-49.3,-67.7167,2
-48.7667,-70.25,1
-47.75,-65.9,4
-47.2667,-72.55,1
-46.8,-67.9667,4
-46.6035,168.3309,1
-46.6,-70.9333,4
-46.55,-71.6167,1
-46.55,-68.95,9
-46.4864,169.448,1
-46.4382,168.3764,7
-46.4333,-67.5333,7
-46.4308,168.2429,1
-46.4109,168.3511,68
-46.3907,169.0861,1
-46.3894,168.3722,37
-46.3631,168.0165,1
-46.3322,168.8477,2
-46.3084,168.7938,1
-46.2799,169.8409,1
-46.2563,169.5825,1
-46.2489,169.7761,1
-46.2388,169.7372,9
-46.2388,169.7388,1
-46.1902,168.8673,1
-46.1897,169.0657,1
-46.1439,167.9955,2
-46.1435,167.9974,2
-46.1428,168.3247,6
-46.1414,168.3187,1
-46.1225,169.9577,1
-46.1224,169.9704,2
-46.1001,168.9448,27
-46.0997,168.9357,5
-46.0333,170.1,1
-45.9708,168.0264,1
-45.946,169.1213,3
-45.9333,-67.5333,12
-45.9097,168.4293,1
-45.9059,170.4912,2
-45.9021,168.7426,1
-45.9004,170.4259,1
-45.8962,170.5368,3
-45.8847,168.7116,2
-45.8839,170.3552,4
-45.8792,170.472,3
-45.8777,170.5018,4
-45.8725,170.5036,155
-45.8714,170.5119,34
-45.8667,170.5,2
-45.8661,170.5096,1
-45.8641,-67.4966,6
-45.8377,168.5889,2
-45.8366,170.5074,28
-45.825,-67.7333,1
-45.8157,170.6218,1
-45.7894,170.5411,2
-45.7542,170.0897,1
-45.7333,-67.0667,1
-45.6833,-70.2667,6
-45.6083,-67.75,84
-45.6,-69.0833,6
-45.5667,-72.0667,18
-45.4816,170.7112,1
-45.4151,167.7164,1
